Title,Location,Price,Details,City
1 Kanal With Basement Brand New Luxury Designer House Available For Sale At Bahria Town Phase3 Rawalpindi,"Bahria Town Phase 3, Bahria Town Rawalpindi",2 Crore,1 kanal with open basement house it,Rawalpindi
28 Marla Brand New Luxury Designer House Available For Sale In Bahria Town Phase 3,"Bahria Town Phase 3, Bahria Town Rawalpindi",8.5 Crore,28 marla brand new luxury double un,Rawalpindi
10 marla brand new house available for sale in bahria town phase7,"Bahria Town Phase 7, Bahria Town Rawalpindi",10 Crore,10 marla brand new house it has 5 b,Rawalpindi
10.5 Marla Designer Brand New House Is Available For Sale Bahria Town Phase 8 Rawalpindi,"Bahria Town Phase 8 - Safari Valley, Bahria Town Phase 8",10.5 Crore,Nice property with great landscapin,Rawalpindi
10 Marla Designer House With Lawn Is Available For Sale Bahria Town Phase 8 Rawalpindi,"Bahria Town Phase 8 - Safari Valley, Bahria Town Phase 8",3.7 Crore,Nice property with great landscapin,Rawalpindi
1 Kanal Brand New Luxury Double Unit House For Sale In Bahria Town Phase 2,"Bahria Town Phase 2, Bahria Town Rawalpindi",4.5 Crore,1 Kanal Brand New 5 Bedroom With At,Rawalpindi
11 Marla Brand New Luxury Double Unit House Available For Sale In Phase 2,"Bahria Town Phase 2, Bahria Town Rawalpindi",3.1 Crore,11 Marla Brand New Luxury Double Un,Rawalpindi
10 Marla investor price House for sale in bahria town,"Bahria Town Phase 3, Bahria Town Rawalpindi",4.6 Crore,"5 bedroom attach bath
tv lounge
dra",Rawalpindi
Prime Location House For sale In Bahria Town Phase 8 - Ali Block,"Bahria Town Phase 8 - Ali Block, Bahria Town Phase 8 - Safari Valley",1.85 Crore,House for sale in bahria town phase,Rawalpindi
Buy A Centrally Located Prime Location 5.5 Marla House In Bahria Town Phase 8 - Ali Block,"Bahria Town Phase 8 - Ali Block, Bahria Town Phase 8 - Safari Valley",86.36 Lakh,House for sale in bahria town phase,Rawalpindi
Looking For A House In Bahria Town Phase 4 Rawalpindi,"Bahria Town Phase 4, Bahria Town Rawalpindi",2.05 Crore,"Bahria phase 4
 Brandnew house 
4 b",Rawalpindi
Your Dream 1 Kanal House Is Available In Bahria Town Phase 2,"Bahria Town Phase 2, Bahria Town Rawalpindi",5.5 Crore,"Bahria town phase 2
Kanal designer",Rawalpindi
old dubel uenit house for sale old is gold near askria14secter d back to janjow twon,"Defence Road, Rawalpindi",1.26 Crore,5marla old house for sale 4bed room,Rawalpindi
HOUSE FOR SALE NAER ASKRI 7 KHAWAJA CORPORTION CHOWK,"Adiala Road, Rawalpindi",12.25 Crore,3.25marla house for sale vip lactio,Rawalpindi
Fully Furnished Tremezzo Apartment For Sale,"Bahria Town Phase 7, Bahria Town Rawalpindi",1.05 Crore,"One Bed Furnished Apartment
Beautif",Rawalpindi
Buying A Prime Location House In Rawalpindi?,"Bahria Greens - Overseas Enclave - Sector 2, Bahria Greens - Overseas Enclave",55 Lakh,"Bahria Greens Overseas 2
Street 1
1",Rawalpindi
"10 Marla Fully Furnished House For Sale In Overseas 2, Bahria Town Phase 8","Bahria Town Phase 8, Bahria Town Rawalpindi",1.75 Crore,"- Prime Location &amp; Solid Land
-",Rawalpindi
River loaft Bahria penthouse available For Sale in bahria town phase7,"River Loft, Bahria Town Rawalpindi",4.8 Crore,"Bahria town phase7 
PENTHOUSE avail",Rawalpindi
Luxury 1 Kanal Semi Furnished House AT Prime Location In Phase 4,"Bahria Town Phase 4, Bahria Town Rawalpindi",4.85 Crore,Luxurious 1 Kanal House With All Th,Rawalpindi
15-Marla House (450 Square Yards),"Chaklala Scheme 3, Chaklala Scheme",3.65 Crore,This house is situated at Walayat H,Rawalpindi
5 Marala double story corner house for sale at Lane no 3 Quaid E Azam colony near Iqbal market and Gulzar mosque,"Quaid-e-Azam Colony, Rawalpindi",11.25 Crore,5 Marala double story corner house,Rawalpindi
Your Search For House In Rawalpindi Ends Here,"Snober City, Adiala Road",4 Crore,Whatever kind of House you are look,Rawalpindi
6 Marla House For sale In Snober City,"Snober City, Adiala Road",87 Lakh,This House is ideal for those of yo,Rawalpindi
Good 10 Marla House For sale In Snober City,"Snober City, Adiala Road",1.35 Crore,For the kind of well-designed House,Rawalpindi
"10 Marla Brand New House For Sale In Bahria Town Phase3,","Bahria Town Phase 3, Bahria Town Rawalpindi",1.2 Crore,10 Marla Brand New Luxury Double Un,Rawalpindi
7 Marla Designer House Is Available For Sale Bahria Town Phase 8 Rawalpindi,"Bahria Town Phase 8, Bahria Town Rawalpindi",1.5 Crore,"This Five bedroom, Six-and-a-half b",Rawalpindi
Buy 1125 Square Feet Designer House Is Available For Sale Bahria Town Phase 8 Rawalpindi,"Bahria Town Phase 8, Bahria Town Rawalpindi",4.95 Crore,"This Three bedroom, Four-and-a-half",Rawalpindi
5 Marla Designer Used House Is Available For Sale Bahria Town Phase 8 Rawalpindi,"Bahria Town Phase 8, Bahria Town Rawalpindi",2.6 Crore,"This Three bedroom, Four-and-a-half",Rawalpindi
5 Marla Beautiful House Available For Sale In Bahria Town Phase 8,"Bahria Town Phase 8, Bahria Town Rawalpindi",1.8 Crore,Nice property with great landscapin,Rawalpindi
10 Marla Designer House Is Available For Sale Bahria Town Phase 8 Rawalpindi,"Bahria Town Phase 8, Bahria Town Rawalpindi",1.72 Crore,"This Five bedroom, Six-and-a-half b",Rawalpindi
2 BEDS BRAND NEW 4 MARA VILLA FOR SALE LOCATED IN PHASE 8 BAHRIA TOWN RAWALPINDI,"Bahria Town Phase 8 - Awami Villas 2, Bahria Town Phase 8",1.85 Crore,2 BEDS BRAND NEW 4 MARA VILLA FOR S,Rawalpindi
6 BEDS BRAND NEW 7 MARA BUNGALOW FOR SALE LOCATED IN PHASE 8 BAHRIA TOWN RAWALPINDI,"Bahria Town Phase 8, Bahria Town Rawalpindi",3.6 Crore,6 BEDS BRAND NEW 7 MARA BUNGALOW FO,Rawalpindi
2 Kanal 10 Marla Farm House Is Available For Sale In Police Officers Colony Abbottabad,"Police Officers Colony, Abbottabad",15 Crore,2 Kanal 10 Marla Farm House Is Avai,Abbottabad
Hotel suit apartment for sale on 3 years instalment plan,"Kuzagali, Abbottabad",68 Lakh,Hotel suit apartment for sale on 3,Abbottabad
7 Marla House,"Maira Muzzafar, Abbottabad",1.05 Crore,7 Marla single story house located,Abbottabad
4500 Square Feet House For Sale In Habibullah Colony,"Habibullah Colony, Abbottabad",1.1 Crore,Kanal House for sale located at Hab,Abbottabad
Luxury 3 Bedroom Apartment Is Available on Easy Installment Plan in Nathia Gali,"Nathia Gali, Abbottabad",9.35 Crore,*Pine Rock Apartments A marvel of c,Abbottabad
House for sale,"Gulfam Town Society, Abbottabad",96 Lakh,7.85 Marla newly constructed house,Abbottabad
One Bed Studio Apartment On Installments In Khaira Gali Murree,"Khaira Gali, Abbottabad",4.9 Crore,We are offering service apartments,Abbottabad
4 Marla Single Storey House,"Thanda Choha, Abbottabad",2.2 Crore,4 Marla single Storey House for sal,Abbottabad
5 Marla Single Storey House,"Bilal Town, Abbottabad",1.2 Crore,5 Marla single Storey House for sal,Abbottabad
22 Marla House for sale,"Usmanabad, Abbottabad",75 Lakh,22 Marla house for sale. Corner plo,Abbottabad
6.5 Marla House,"Murree Road, Abbottabad",1.1 Crore,6.5 Marla house for sale located at,Abbottabad
7 Marla double story house for sale,"Javaid Shahid Road, Abbottabad",4 Crore,7 Marla double story house located,Abbottabad
Amazing Designer House Is Available At Very Out Class Location Kaghan Colony Mandian Abbottabad.,"Kaghan Colony, Abbottabad",1.25 Crore,Amazing designer house is available,Abbottabad
8 Marla House Available For Sale At Kala Pul Abbottabad,"Karakoram Highway, Abbottabad",2.44 Crore,8 Marla House Available For Sale At,Abbottabad
4 Marla House for sale,"Maira Muzzafar, Abbottabad",4.8 Crore,4 Marla single story house located,Abbottabad
5 Marla House for sale,"Others, Abbottabad",2.2 Crore,5 Marla single story house located,Abbottabad
House for sale,"Small Industry Road, Abbottabad",90 Lakh,6.5 Marla double story house locate,Abbottabad
"Khaira Gali-a Place Where You Find Your Peace, Most Stunning Views And Architecture Flat For Sale","Khaira Gali, Abbottabad",80 Lakh,UNITY ESTATES presenting yet anothe,Abbottabad
House For sale In Gohar Ayub Town Gohar Ayub Town,"Gohar Ayub Town, Abbottabad",2.1 Crore,A House like this can be hard to co,Abbottabad
Get In Touch Now To Buy A House In Officers Colony,"Officers Colony, Abbottabad",1.82 Crore,Whatever kind of House you are look,Abbottabad
10 Marla House In Central Habibullah Colony For sale,"Habibullah Colony, Abbottabad",3 Crore,House comes with different bedroom,Abbottabad
Well-constructed House Available For Sale In Supply,"Supply, Abbottabad",1.6 Crore,Know that this House right here is,Abbottabad
Ready To Buy A House In Bilal Town Bilal Town,"Bilal Town, Abbottabad",4.3 Crore,"Of course, if you're looking for Ho",Abbottabad
Ready To Buy A House 8 Marla In Jhangi Syedan,"Jhangi Syedan, Abbottabad",2.3 Crore,A House that is located in the prim,Abbottabad
Double Storey House Available For Sale,"Supply, Abbottabad",1.4 Crore,Double Storey House Available For s,Abbottabad
7 Marla Single Storey House,"Gulfam Town Society, Abbottabad",1.45 Crore,7 Marla single Storey House located,Abbottabad
7 Marla single Storey House,"Thanda Choha, Abbottabad",1.3 Crore,7 Marla single Storey House located,Abbottabad
Snow Line Residence Exquisitely Fully Furnished Apartments For Sale,"Nathia Gali, Abbottabad",54.62 Lakh,"Al Meezan Properties Offer!
Exquisi",Abbottabad
1 Bed Apartment For Sale On Instalment,"Kuzagali, Abbottabad",2.25 Crore,Swiss Suites Ayubia offers 1 and 2,Abbottabad
A House Of 16 Marla In Habibullah Colony,"Habibullah Colony, Abbottabad",64.64 Lakh,"House for sale in Abbottabad. 
Habi",Abbottabad
Beautiful House Available For Sale In Rah E Aman Habibullah Colony,"Habibullah Colony, Abbottabad",60.22 Lakh,Beautiful House Available For Sale,Abbottabad
House for sale in Main Jinnahabad,"Jinnahabad, Abbottabad",4.5 Crore,Double story house for sale in Jinn,Abbottabad
Ideally Located House Of 1 Kanal Is Available For sale In Kaghan Colony,"Kaghan Colony, Abbottabad",3.65 Crore,This House is a great investment op,Abbottabad
11 Marla Single Storey Houses Is Available,"Maira Muzzafar, Abbottabad",5.6 Crore,11 Marla Single Storey House Locate,Abbottabad
3 Bed Apartment Is Available For Sale On Easy Installments in Very Reasonable Price,"Nathia Gali, Abbottabad",5 Crore,"Pine Rock Resort 
Apartment Is Avai",Abbottabad
House Is Available For Sale Near AMC,"Ayub Medical Complex, Abbottabad",1.9 Crore,This well-planned House enjoys well,Abbottabad
Apartment Is Available For Sale On Easy Installments in Very Reasonable Price,"Nathia Gali, Abbottabad",5.8 Crore,"Pine Rock Resort 
Apartment Is Avai",Abbottabad
5 Marla Grey Structure House For Sale,"Javaid Shahid Road, Abbottabad",1.5 Crore,5 Marla structure double story hous,Abbottabad
6 Marla Double Storey House For Sale In Main Habibullah Colony,"Habibullah Colony, Abbottabad",4.9 Crore,"Looking for a House? Well, don't se",Abbottabad
2 Bedroom Luxury Apartment Is Available in Nathia Gali on Easy Installment Plan,"Nathia Gali, Abbottabad",1.35 Crore,*Pine Rock Apartments A marvel of c,Abbottabad
Nathia Gali 3Bedroom Luxury Apartment Is Available on Easy Installment Plan,"Nathia Gali, Abbottabad",2.4 Crore,*Pine Rock Apartments A marvel of c,Abbottabad
Luxurious Residential Apartment Is Available on Easy Installment Plan in Nathia Gali,"Nathia Gali, Abbottabad",5.8 Crore,*Pine Rock Apartments A marvel of c,Abbottabad
Double Storey House For Sale in Officer Colony Abbottabad,"Officers Colony, Abbottabad",5.4 Crore,Double Story House For Sale in Offi,Abbottabad
6.15 Marla Corner House For Sale At Kakul Road Abbottabad,"Kakul Road, Abbottabad",5.25 Crore,6.15 Marla Corner House For Sale at,Abbottabad
Fully Furnished South Open House For Sale,"Habibullah Colony, Abbottabad",2.2 Crore,Fully Furnished South Open House Fo,Abbottabad
6.15 Marla House For Sale In Habibullah Colony Abbottabad,"Habibullah Colony, Abbottabad",1.9 Crore,6.15 Marla House For Sale in Habibu,Abbottabad
6 Marla House Available For Sale in Habibullah Colony,"Habibullah Colony, Abbottabad",2.7 Crore,6 Marla House Available For Sale in,Abbottabad
"10 Marla Double Unit House for Sale at Aziz Bhatti Road, Habibullah Colony","Habibullah Colony, Abbottabad",3.2 Crore,10 Marla Double Unit House for Sale,Abbottabad
Single Storey House For Sale In Bilal Town Abbottabad,"Bilal Town, Abbottabad",3 Crore,Single Story House For Sale In Bila,Abbottabad
Double Storey House For Sale Near Peace College Girls Bandhan Shadi Hall Street,"Supply, Abbottabad",2.9 Crore,Double Storey House For Sale Near P,Abbottabad
5 Marla single story house,"Maira Tal Road, Abbottabad",95 Lakh,5 Marla single story house located,Abbottabad
Triple Story House For Sale in Kaghan Colony Mandian Abbottabad,"Kaghan Colony, Abbottabad",2.6 Crore,Triple Story House For Sale in Kagh,Abbottabad
Double Storey House For Sale In Officer Colony Abbottabad,"Officers Colony, Abbottabad",1.05 Crore,Double Story House For Sale in Offi,Abbottabad
6 Marla House for sale,"Small Industry Road, Abbottabad",2.7 Crore,6 Marla double story house located,Abbottabad
Luxury Family 3 Bedroom Apartment Is Available on Easy Installment Plan in Nathia Gali,"Nathia Gali, Abbottabad",1.2 Crore,*Pine Rock Apartments A marvel of c,Abbottabad
Double Storey House For sale in Hassan Town Abbottabad,"Hassan Town, Abbottabad",60.22 Lakh,Double Storey House For sale in Has,Abbottabad
Double story house for sale in supply abbottabad,"Supply, Abbottabad",4.9 Crore,Double story double kitchen house f,Abbottabad
10 Marla Double Storey Brand New House At Habibullah Colony Abbottabad,"Habibullah Colony, Abbottabad",1.7 Crore,10 Marla double storey Brand New ho,Abbottabad
5.5 Marla Double Storey New House,"Small Industry Road, Abbottabad",2.5 Crore,5.5 Marla Double Story House Locate,Abbottabad
Looking For A House In Gulfam Town Society,"Gulfam Town Society, Abbottabad",3.65 Crore,15 Marla House at Kala phul south o,Abbottabad
6 Marla Double Storey South Open House For Sale In Street 11,"Habibullah Colony, Abbottabad",1.5 Crore,6 Marla Double Storey South Open Ho,Abbottabad
11 Marla Double Storey House For Sale In Habibullah Colony,"Habibullah Colony, Abbottabad",3.5 Crore,11 Marla Double Storey House For Sa,Abbottabad
Single Storey House For Sale In Orish Colony Nawansher,"Nawansher, Abbottabad",2.95 Crore,Single Storey House For Sale in Ori,Abbottabad
Double Storey House For Sale In Nawansher Mera,"Nawansher, Abbottabad",3.75 Crore,Double Storey House For Sale in Naw,Abbottabad
New Double Storey House For Sale In Gulfarm Town,"Gulfam Town Society, Abbottabad",1.15 Crore,7 Marla New Double Storey House For,Abbottabad
Triple Storey House For Sale In Kaghan Colony,"Kaghan Colony, Abbottabad",1.1 Crore,Triple Storey House For Sale in kag,Abbottabad
Double Storey House For Sale In University Town,"University Town, Abbottabad",2.2 Crore,Double Storey House For Sale in Uni,Abbottabad
Double Story House For Sale In Sarban Colony Near Ayub Medical Complex,"Sarban Colony, Kakul Road",3.3 Crore,Double Story House For Sale In Sarb,Abbottabad
Single Story House For Sale Near Muqadas Town,"Main Mansehra Road, Abbottabad",1.25 Crore,Single Story House For Sale Near Mu,Abbottabad
Double Story House For Sale in Kaghan Colony abbottabad,"Kaghan Colony, Abbottabad",1.65 Crore,Double Story new House For Sale in,Abbottabad
Double Storey House For Sale Near DSP Masjid Usmanabad,"Usmanabad, Abbottabad",80 Lakh,8 Marla Double storey beautiful hou,Abbottabad
Double Storey House Available For Sale In Habibullah Colony Abbottabad,"Habibullah Colony, Abbottabad",2 Crore,Double Story House Available For Sa,Abbottabad
Single Storey House For Sale In Lower Jinnahabad,"Jinnahabad, Abbottabad",2 Crore,Single Story House For Sale in Lowe,Abbottabad
Beautiful House For Sale In Kala Pul Abbottabad,"Main Mansehra Road, Abbottabad",2.95 Crore,Beautiful House For Sale in Kala Pu,Abbottabad
Studio Apartment For Sale At Zen Apartments,"Zen Apartments, Nathia Gali",2.4 Crore,Zen Apartments is a new and chic ap,Abbottabad
Studio Apartment For Sale At Zen Apartments,"Zen Apartments, Nathia Gali",1.06 Crore,Zen Apartments is a new and chic ap,Abbottabad
Studio Apartment For Sale At Zen Apartments,"Zen Apartments, Nathia Gali",1.16 Crore,Zen Apartments is a new and chic ap,Abbottabad
Apartment For Sale At Zen Apartments,"Zen Apartments, Nathia Gali",1.05 Crore,Zen Apartments is a new and chic ap,Abbottabad
Apartment For Sale At Zen Apartments,"Zen Apartments, Nathia Gali",1.46 Crore,Zen Apartments is a new and chic ap,Abbottabad
Studio Apartment For Sale At Zen Apartments,"Zen Apartments, Nathia Gali",2.02 Crore,Zen Apartments is a new and chic ap,Abbottabad
Ideal House Available For Sale in Mangal Abbottabad very close to Main mansehra road,"Mangal, Abbottabad",60.22 Lakh,Ideal House Available For Sale in M,Abbottabad
10 Marla House,"Habibullah Colony, Abbottabad",1.05 Crore,10 Marla double story house located,Abbottabad
Brand New Double Story House For Sale in Sir Syed Colony Abbottabad,"Sir Syed Colony, Abbottabad",1.3 Crore,Brand New Double Story House For Sa,Abbottabad
Conifer Services Apartments,"Khaira Gali, Abbottabad",2.9 Crore,Those Apartments Are Available In G,Abbottabad
Conifer Services Apartments  Is Available,"Khaira Gali, Abbottabad",1.5 Crore,Those Apartments Are Available In G,Abbottabad
Single Storey House For Sale In Officer Colony Abbottabad,"Officers Colony, Abbottabad",1.76 Crore,Single Storey House For Sale in Off,Abbottabad
beautiful south open house for sale,"Jinnahabad, Abbottabad",1.21 Crore,South,Abbottabad
Habibullah Colony Abbottabad,"Habibullah Colony, Abbottabad",1.2 Crore,"10 Marla 
3 Crore 50 Lac 
Bed 5
Bat",Abbottabad
Newly built house for sale,"Bilal Town, Abbottabad",6.75 Crore,i am selling beautiful house due to,Abbottabad
Triple Story House For Sale Opposite Complex,"Ayub Medical Complex, Abbottabad",3.5 Crore,12 Marla triple story house for sal,Abbottabad
18 Marla House Available For Sale In Barian Bazar Nathia Street,"Nathia Gali, Abbottabad",1.5 Crore,18 Marla house Available for Sale i,Abbottabad
South Open House Bilal Town Abbottabad,"Bilal Town, Abbottabad",3.8 Crore,The House showcases an ultra-modern,Abbottabad
2 Kanal House For Sale In Cantt Abbottabad,"Cantt, Abbottabad",3.5 Crore,Double storey house for sale in can,Abbottabad
A Perfect House Awaits You In Habibullah Colony Habibullah Colony,"Habibullah Colony, Abbottabad",1.4 Crore,Your property search ends right her,Abbottabad
Apartment For Sale At Zen Apartments,"Zen Apartments, Nathia Gali",15 Crore,Zen Apartments is a new and chic ap,Abbottabad
A Good Option For Sale Is The House Available In Usmanabad In Usmanabad,"Usmanabad, Abbottabad",3.75 Crore,"At A Price Like This, The House Is",Abbottabad
Double Storey House For Sale In Jinnahabad,"Jinnahabad, Abbottabad",2.02 Crore,"Beautiful House for sale 
6 beds wi",Abbottabad
3 Bed Apartment Is Available For Sale On Easy Installments in Very Reasonable Price,"Nathia Gali, Abbottabad",1.5 Crore,"Pine Rock Resort 
Apartment Is Avai",Abbottabad
Double Storey House For sale in Hassan Town Abbottabad,"Hassan Town, Abbottabad",7 Crore,Double Storey House For sale in Has,Abbottabad
Double Storey House For Sale In Jinnahabad Abbottabad,"Jinnahabad, Abbottabad",5.25 Crore,Double Storey House For Sale In Jin,Abbottabad
